sample	pop	super_pop	gender
A0001	TIB	NA	NA
A0002	TIB	NA	NA
A0003	TIB	NA	NA
A0004	TIB	NA	NA
A0005	TIB	NA	NA
A0006	TIB	NA	NA
A0007	TIB	NA	NA
A0008	TIB	NA	NA
A0009	TIB	NA	NA
A0010	TIB	NA	NA
A0011	TIB	NA	NA
A0012	TIB	NA	NA
A0013	TIB	NA	NA
A0014	TIB	NA	NA
A0015	TIB	NA	NA
A0016	TIB	NA	NA
A0017	TIB	NA	NA
A0018	TIB	NA	NA
A0019	TIB	NA	NA
A0020	TIB	NA	NA
A0021	TIB	NA	NA
A0022	TIB	NA	NA
A0023	TIB	NA	NA
A0024	TIB	NA	NA
A0025	TIB	NA	NA
A0026	TIB	NA	NA
A0027	TIB	NA	NA
A0028	TIB	NA	NA
A0029	TIB	NA	NA
A0030	TIB	NA	NA
A0031	TIB	NA	NA
A0032	TIB	NA	NA
A0033	TIB	NA	NA
A0034	TIB	NA	NA
A0035	TIB	NA	NA
A0036	TIB	NA	NA
A0037	TIB	NA	NA
A0038	TIB	NA	NA
