sample	pop	super_pop	gender		
POG2023WGS00001	TIB	NA	NA
POG2023WGS00002	TIB	NA	NA
POG2023WGS00003	TIB	NA	NA
POG2023WGS00004	TIB	NA	NA
POG2023WGS00005	TIB	NA	NA
POG2023WGS00006	TIB	NA	NA
POG2023WGS00007	TIB	NA	NA
POG2023WGS00008	TIB	NA	NA
POG2023WGS00009	TIB	NA	NA
POG2023WGS00010	TIB	NA	NA
POG2023WGS00011	TIB	NA	NA
POG2023WGS00012	TIB	NA	NA
POG2023WGS00013	TIB	NA	NA
POG2023WGS00014	TIB	NA	NA
POG2023WGS00015	TIB	NA	NA
POG2023WGS00016	TIB	NA	NA
POG2023WGS00017	TIB	NA	NA
POG2023WGS00018	TIB	NA	NA
POG2023WGS00019	TIB	NA	NA
POG2023WGS00020	TIB	NA	NA
POG2023WGS00021	TIB	NA	NA
POG2023WGS00022	TIB	NA	NA
POG2023WGS00023	TIB	NA	NA
POG2023WGS00024	TIB	NA	NA
POG2023WGS00025	TIB	NA	NA
POG2023WGS00026	TIB	NA	NA
POG2023WGS00027	TIB	NA	NA
POG2023WGS00028	TIB	NA	NA
POG2023WGS00029	TIB	NA	NA
POG2023WGS00030	TIB	NA	NA
POG2023WGS00031	TIB	NA	NA
POG2023WGS00032	TIB	NA	NA
POG2023WGS00033	TIB	NA	NA
POG2023WGS00034	TIB	NA	NA
POG2023WGS00035	TIB	NA	NA
POG2023WGS00036	TIB	NA	NA
POG2023WGS00037	TIB	NA	NA
POG2023WGS00038	TIB	NA	NA
POG2023WGS00039	TIB	NA	NA
POG2023WGS00040	TIB	NA	NA
POG2023WGS00041	TIB	NA	NA
POG2023WGS00042	TIB	NA	NA
POG2023WGS00043	TIB	NA	NA
POG2023WGS00044	TIB	NA	NA
POG2023WGS00045	TIB	NA	NA
POG2023WGS00046	TIB	NA	NA
POG2023WGS00047	TIB	NA	NA
POG2023WGS00048	TIB	NA	NA
POG2023WGS00049	TIB	NA	NA
POG2023WGS00050	TIB	NA	NA
POG2023WGS00051	TIB	NA	NA
POG2023WGS00052	TIB	NA	NA
POG2023WGS00053	TIB	NA	NA
POG2023WGS00054	TIB	NA	NA
POG2023WGS00055	TIB	NA	NA
POG2023WGS00056	TIB	NA	NA
POG2023WGS00057	TIB	NA	NA
POG2023WGS00058	TIB	NA	NA
POG2023WGS00059	TIB	NA	NA
POG2023WGS00060	TIB	NA	NA
POG2023WGS00061	TIB	NA	NA
POG2023WGS00062	TIB	NA	NA
POG2023WGS00063	TIB	NA	NA
POG2023WGS00064	TIB	NA	NA
POG2023WGS00065	TIB	NA	NA
POG2023WGS00066	TIB	NA	NA
POG2023WGS00067	TIB	NA	NA
POG2023WGS00068	TIB	NA	NA
POG2023WGS00069	TIB	NA	NA
POG2023WGS00070	TIB	NA	NA
POG2023WGS00071	TIB	NA	NA
POG2023WGS00072	TIB	NA	NA
POG2023WGS00073	TIB	NA	NA
POG2023WGS00074	TIB	NA	NA
POG2023WGS00075	TIB	NA	NA
POG2023WGS00076	TIB	NA	NA
POG2023WGS00077	TIB	NA	NA
POG2023WGS00078	TIB	NA	NA
POG2023WGS00079	TIB	NA	NA
POG2023WGS00080	TIB	NA	NA
POG2023WGS00081	TIB	NA	NA
POG2023WGS00082	TIB	NA	NA
POG2023WGS00083	TIB	NA	NA
POG2023WGS00084	TIB	NA	NA
POG2023WGS00085	TIB	NA	NA
POG2023WGS00086	TIB	NA	NA
POG2023WGS00087	TIB	NA	NA
POG2023WGS00088	TIB	NA	NA
POG2023WGS00089	TIB	NA	NA
POG2023WGS00090	TIB	NA	NA
POG2023WGS00091	TIB	NA	NA
POG2023WGS00092	TIB	NA	NA
POG2023WGS00093	TIB	NA	NA
POG2023WGS00094	TIB	NA	NA
POG2023WGS00095	TIB	NA	NA
POG2023WGS00096	TIB	NA	NA
POG2023WGS00097	TIB	NA	NA
POG2023WGS00098	TIB	NA	NA
POG2023WGS00099	TIB	NA	NA
POG2023WGS00100	TIB	NA	NA
POG2023WGS00101	TIB	NA	NA
POG2023WGS00102	TIB	NA	NA
POG2023WGS00103	TIB	NA	NA
POG2023WGS00104	TIB	NA	NA
POG2023WGS00105	TIB	NA	NA
POG2023WGS00106	TIB	NA	NA
POG2023WGS00107	TIB	NA	NA
POG2023WGS00108	TIB	NA	NA
POG2023WGS00109	TIB	NA	NA
POG2023WGS00110	TIB	NA	NA
POG2023WGS00111	TIB	NA	NA
POG2023WGS00112	TIB	NA	NA
POG2023WGS00113	TIB	NA	NA
POG2023WGS00114	TIB	NA	NA
POG2023WGS00115	TIB	NA	NA
POG2023WGS00116	TIB	NA	NA
POG2023WGS00117	TIB	NA	NA
POG2023WGS00118	TIB	NA	NA
POG2023WGS00119	TIB	NA	NA
POG2023WGS00120	TIB	NA	NA
POG2023WGS00121	TIB	NA	NA
POG2023WGS00122	TIB	NA	NA
POG2023WGS00123	TIB	NA	NA
POG2023WGS00124	TIB	NA	NA
POG2023WGS00125	TIB	NA	NA
POG2023WGS00126	TIB	NA	NA
POG2023WGS00127	TIB	NA	NA
POG2023WGS00128	TIB	NA	NA
POG2023WGS00129	TIB	NA	NA
POG2023WGS00130	TIB	NA	NA
POG2023WGS00131	TIB	NA	NA
POG2023WGS00132	TIB	NA	NA
POG2023WGS00133	TIB	NA	NA
POG2023WGS00134	TIB	NA	NA
POG2023WGS00135	TIB	NA	NA
POG2023WGS00136	TIB	NA	NA
POG2023WGS00137	TIB	NA	NA
POG2023WGS00138	TIB	NA	NA
POG2023WGS00139	TIB	NA	NA
POG2023WGS00140	TIB	NA	NA
POG2023WGS00141	TIB	NA	NA
POG2023WGS00142	TIB	NA	NA
POG2023WGS00143	TIB	NA	NA
POG2023WGS00144	TIB	NA	NA
POG2023WGS00145	TIB	NA	NA
POG2023WGS00146	TIB	NA	NA
POG2023WGS00147	TIB	NA	NA
POG2023WGS00148	TIB	NA	NA
POG2023WGS00149	TIB	NA	NA
POG2023WGS00150	TIB	NA	NA
POG2023WGS00151	TIB	NA	NA
POG2023WGS00152	TIB	NA	NA
POG2023WGS00153	TIB	NA	NA
POG2023WGS00154	TIB	NA	NA
POG2023WGS00155	TIB	NA	NA
POG2023WGS00156	TIB	NA	NA
POG2023WGS00157	TIB	NA	NA
POG2023WGS00158	TIB	NA	NA
POG2023WGS00159	TIB	NA	NA
POG2023WGS00160	TIB	NA	NA
POG2023WGS00161	TIB	NA	NA
POG2023WGS00162	TIB	NA	NA
POG2023WGS00163	TIB	NA	NA
POG2023WGS00164	TIB	NA	NA
